Id_lichens,Espece_lichens,Id_arbre,Id_quadrat
3653813,Physconia distorta,3653811,331
3653814,Candelaria concolor,3653811,332
3653815,autre lichen foliacé,3653811,333
3653816,Xanthoria parietina,3653811,334
3653817,Punctelia sp.,3653811,335
3653818,Lecanora sp.,3653811,336
3653819,Phaeophyscia orbicularis,3653811,337
3653820,Physconia grisea,0,338
3653821,Physconia distorta,0,339
3653822,autre lichen foliacé,0,340
3653823,Physcia adscendens/tenella,0,341
3653824,Xanthoria parietina,0,342
3653825,Phaeophyscia orbicularis,0,343
3653826,Physcia aipolia/stellaris,0,344
3653827,autre lichen foliacé,0,345
3653828,Pleurosticta acetabulum,0,346
3653829,Melanohalea exasperata,0,347
3653830,Evernia prunastri,0,348
3653831,Parmelia sulcata,0,349
3653832,Flavoparmelia caperata/soredians,0,350
3653954,Pseudevernia furfuracea,3653951,351
3653957,Parmelia sulcata,3653951,352
3653958,Flavoparmelia caperata/soredians,3653951,353
3653959,Punctelia sp.,3653951,354
3653960,Pertusaria pertusa,3653951,355
3654178,Evernia prunastri,3654173,356
3654188,Parmelia sulcata,3654171,357
3654189,Flavoparmelia caperata/soredians,3654171,358
3654200,Parmelia sulcata,3654174,359
3654202,Parmelia sulcata,3654174,360
3654203,Parmelia sulcata,3654174,361
3654209,Parmelia sulcata,3654174,362
3654210,Phaeophyscia orbicularis,3654171,363
3655426,Amandinea punctata/Lecidella elaeochroma,3655424,364
3655427,Physcia adscendens/tenella,3655424,365
3655428,Lecanora sp.,3655424,366
3655429,Phaeophyscia orbicularis,3655424,367
3655430,Xanthoria parietina,3655424,368
3655431,Melanelixia glabratula/subaurifera,3655424,369
3655432,Candelaria concolor,3655424,370
3655433,Physcia aipolia/stellaris,3655424,371
3655434,Physconia distorta,3655424,372
3655435,Pleurosticta acetabulum,3655424,373
3655436,autre lichen foliacé,3655424,374
3655437,Parmelina tiliacea/pastillifera,3655424,375
3655438,Evernia prunastri,3655424,376
3655439,Parmelia sulcata,3655424,377
3655440,Punctelia sp.,3655424,378
3655441,Flavoparmelia caperata/soredians,3655424,379
3655444,Amandinea punctata/Lecidella elaeochroma,3655442,380
3655445,Physcia adscendens/tenella,3655442,381
3655446,Lecanora sp.,3655442,382
3655447,Phaeophyscia orbicularis,3655442,383
3655448,Xanthoria parietina,3655442,384
3655449,Candelaria concolor,3655442,385
3655450,Physcia aipolia/stellaris,3655442,386
3655451,Physconia distorta,3655442,387
3655452,Pleurosticta acetabulum,3655442,388
3655453,Physconia grisea,3655442,389
3655454,autre lichen foliacé,3655442,390
3655455,Parmelina tiliacea/pastillifera,3655442,391
3655456,Evernia prunastri,3655442,392
3655457,Parmelia sulcata,3655442,393
3655458,Punctelia sp.,3655442,394
3655459,Flavoparmelia caperata/soredians,3655442,395
3655460,Melanohalea exasperata,3655442,396
3655461,Physcia adscendens/tenella,3655443,397
3655462,Lecanora sp.,3655443,398
3655463,Phaeophyscia orbicularis,3655443,399
3655464,Xanthoria parietina,3655443,400
3655465,Candelaria concolor,3655443,401
3655466,Physcia aipolia/stellaris,3655443,402
3655467,Pleurosticta acetabulum,3655443,403
3655468,Physconia grisea,3655443,404
3655469,autre lichen foliacé,3655443,405
3656217,Physcia adscendens/tenella,3656214,406
3656218,Physcia aipolia/stellaris,3656214,407
3656219,Phaeophyscia orbicularis,3656214,408
3656220,Candelaria concolor,3656214,409
3656221,Parmelia sulcata,3656214,410
3656222,Pleurosticta acetabulum,3656214,411
3656223,Physconia distorta,3656214,412
3656224,Evernia prunastri,3656214,413
3656225,Flavoparmelia caperata/soredians,3656214,414
3656226,autre lichen foliacé,3656214,415
3656227,Physcia adscendens/tenella,3656215,416
3656228,Physcia aipolia/stellaris,3656215,417
3656229,Phaeophyscia orbicularis,3656215,418
3656230,Candelaria concolor,3656215,419
