Id_quadrat,Id_lichens,Id_arbre,Location_lichens_sur_arbre,Date_Observation
160,3650006,3650001,"['s1', 'o1', 'n2', 's2', 'e2', 'o2', 'n3', 's3', 'e3', 'o3', 'n4', 's4', 'e4', 'o4', 'n5', 's5', 'e5', 'o5', '']",2019/12/19
161,3650007,3650001,"['s3', '']",2019/12/19
162,3650008,3650001,"['s1', 'e1', 'o1', 'e2', 'e3', 'e5', '']",2019/12/19
163,3650009,3650001,"['e1', '']",2019/12/19
164,3650010,3650001,"['o1', 'e2', 'e4', '']",2019/12/19
165,3650011,3650001,"['s1', 'e2', '']",2019/12/19
166,3650012,3650001,"['e3', 'e5', 'o5', '']",2019/12/19
167,3650014,3650013,"['n1', 's1', 'o1', 'n2', 's2', 'o2', 'n3', 'o3', 'n4', 's4', 'o4', 'n5', 'o5', '']",2019/12/19
168,3650015,3650013,"['e1', 'o1', '']",2019/12/19
169,3650016,3650013,"['o1', 'n2', 'n3', 'o3', 'n4', 's4', 'o4', 'n5', 'o5', '']",2019/12/19
170,3650017,3650013,"['n1', 's1', 'e1', 'o1', 'n2', 's2', 'e2', 'o2', 'n3', 's3', 'e3', 'n4', 's4', 'e4', 'n5', 's5', 'e5', '']",2019/12/19
171,3650018,3650013,"['e1', 'e2', 'e5', '']",2019/12/19
172,3650019,3650013,"['n2', 'o2', 'o3', 's4', 's5', '']",2019/12/19
173,3650020,3650013,"['s1', 'e1', 'e2', 'o2', 's5', 'o5', '']",2019/12/19
174,3650021,3650013,"['n2', 's2', 'o2', '']",2019/12/19
175,3650022,3650013,"['e2', 's3', 'e4', 's5', 'e5', '']",2019/12/19
176,3650023,3650013,"['s1', 'o2', 'o3', 'o4', '']",2019/12/19
177,3650024,3650013,"['s3', 'o4', '']",2019/12/19
178,3650025,3650013,"['e2', '']",2019/12/19
179,3650026,3650013,"['o5', '']",2019/12/19
180,3650607,3650606,"['n1', 's1', 'e1', 'n2', 's2', 'e2', 'n3', 's3', 'e3', 'n4', 's4', 'e4', 'n5', 's5', 'e5', '']",2019/12/26
181,3650608,3650606,"['n1', 's1', 'e1', 'o1', 'n2', 'n3', 's3', 'e3', 'o3', 'n4', 's4', 'e4', 'o4', 'n5', 'e5', '']",2019/12/26
182,3650609,3650606,"['n1', 'o1', 'o2', 'n3', 's3', 'e3', 'n4', 's4', 'e4', 'o4', 'n5', 's5', 'o5', '']",2019/12/26
183,3650610,3650606,"['n1', 'o1', 'n2', 's2', 'o3', 'n4', '']",2019/12/26
