Id_arbre,Id_site,Latitude,Longitude,Espece_arbre,Famille,ext:num_arbre,ext:circonference
3740858,48.7886452.455072,48.78864,2.45509,Tilia cordata Mill.,Malvaceae,1.0,145.0
3740859,48.7886452.455072,48.78861,2.45515,Tilia cordata Mill.,Malvaceae,2.0,1.5
3740863,48.7885462.455147,48.78867,2.45509,Tilia cordata Mill.,Malvaceae,1.0,143.0
3740864,48.7885462.455147,48.78864,2.4551,Tilia cordata Mill.,Malvaceae,2.0,150.0
3740922,48.7901222.453627,48.78872,2.45502,Tilleul,Null,1.0,112.5
3740923,48.7901222.453627,48.78857,2.45515,Tilleul,Null,2.0,115.0
3740924,48.7901222.453627,48.78881,2.45494,Tilleul,Null,3.0,113.0
3740925,48.9752751.975878,48.97497,1.9708,aulne glutineux,Null,1.0,140.0
3740926,48.9752751.975878,48.97504,1.97091,aulne glutineux,Null,2.0,100.0
3740927,48.9752751.975878,48.9751,1.97095,aulne glutineux,Null,3.0,100.0
3741057,48.132153-1.644626,48.13221,-1.6452,Quercus robur var. robur,Fagaceae,1.0,36.0
3741549,48.8464972.335844,48.84783,2.33566,Acer acutifolium St.-Lag.,Sapindaceae,1.0,74.0
3741551,48.8468582.336462,48.84782,2.33555,Acer acutifolium St.-Lag.,Sapindaceae,1.0,74.0
3741552,48.8468582.336462,48.84785,2.33553,Acer acutifolium St.-Lag.,Sapindaceae,2.0,90.0
3741553,48.8468582.336462,48.84788,2.33542,Acer acutifolium St.-Lag.,Sapindaceae,3.0,90.0
3741700,48.8039442.254547,48.80389,2.25508,Ne sais pas,Null,1.0,80.0
3741701,48.8039442.254547,48.80395,2.25485,Ne sais pas,Null,2.0,80.0
3741702,48.8039442.254547,48.80399,2.25466,Ne sais pas,Null,3.0,80.0
3741996,48.8759082.082219,48.87591,2.08222,Erable,Null,1.0,89.5
3741997,48.8759082.082219,48.87591,2.08222,Erable,Null,2.0,74.0
3741998,48.8759082.082219,48.87591,2.08222,Erable,Null,3.0,84.0
3743016,45.668184.818063,45.66815,4.8181,Tilia cordata Mill.,Malvaceae,1.0,69.0
3743017,45.668184.818063,45.66809,4.8182,Tilia cordata Mill.,Malvaceae,2.0,77.0
3743018,45.668184.818063,45.66807,4.81833,Tilia cordata Mill.,Malvaceae,3.0,75.0
3743117,49.0415672.072071,49.04159,2.07198,Acer pseudoplatanus L.,Sapindaceae,1.0,139.0
