Id_site,Id_arbre,Latitude_site,Longitude_site,Num_arbre,Rue,Commune,Pays,Fréquence,Completude
48.84021214893882.6347070920570563,3791593,48.8402121489388,2.6347070920570563,1.0,Cours des Lacs,Lognes,FR,3,True
48.816459354063482.5169312955790706,3791634,48.81645935406348,2.5169312955790706,1.0,Rue de Bernau,Champigny-sur-Marne,FR,3,True
48.62718978725222.4292552472184075,3791672,48.6271897872522,2.4292552472184075,1.0,Allée Jacquard,Évry,FR,3,True
48.85241612564682.3598468304635394,3791696,48.8524161256468,2.3598468304635394,1.0,Rue Poulletier,Paris,FR,3,True
48.892310396822582.346169352742891,3791719,48.89231039682258,2.346169352742891,1.0,Square de Clignancourt,Paris,FR,3,True
48.891139426159232.240073681225568,3791740,48.89113942615923,2.240073681225568,1.0,Avenue Perronet Sud,Puteaux,FR,3,True
48.996578850010841.7033439878673566,3791753,48.99657885001084,1.7033439878673566,1.0,Rue Émile Zola,Mantes-la-Jolie,FR,3,True
48.838850475803552.4128544330460504,3791786,48.83885047580355,2.4128544330460504,1.0,Rue Édouard Lartet,Paris,FR,3,True
45.749284901882693.088096976280213,3791818,45.74928490188269,3.088096976280213,1.0,Rue des Têtes,Beaumont,FR,3,True
45.749341051169653.0901730060577397,3795528,45.74934105116965,3.09017300605774,1.0,Rue des Têtes,Beaumont,FR,3,True
45.790157857345813.070614337921143,3795932,45.79015785734581,3.070614337921143,1.0,Parc Montjuzet,Clermont-Ferrand,FR,2,False
45.769715768768763.136526942253113,3796671,45.76971576876876,3.136526942253113,1.0,Rue Jean-Auguste Senèze,Clermont-Ferrand,FR,3,True
45.753578287717993.1304597854614262,3798041,45.75357828771799,3.1304597854614262,1.0,Avenue du Roussillon,Aubière,FR,3,True
45.765154185109383.042021989822388,3799817,45.76515418510938,3.042021989822388,1.0,Chemin du Breuil,Royat,FR,3,True
48.899499036939892.338296175003052,3800687,48.89949903693989,2.338296175003052,1.0,Rue René Binet,Paris,FR,1,False
45.76010033.0638589,3802745,45.7601003,3.0638589,1.0,Allée Bel Air,Ceyrat,FR,4,True
45.7402983.060395,3803833,45.740298,3.060395,1.0,Avenue de la Vialle,Ceyrat,FR,3,True
47.596553473925981.3294395804405217,3804398,47.59655347392598,1.3294395804405217,1.0,Rue Honoré de Balzac,Blois,FR,2,False
47.596311102327331.3294449448585512,3804414,47.59631110232733,1.3294449448585512,1.0,Rue Honoré de Balzac,Blois,FR,1,False
47.598199400604851.3307592272758486,3804460,47.59819940060485,1.3307592272758486,1.0,Rue Honoré de Balzac,Blois,FR,1,False
47.596582413743331.329171359539032,3804587,47.59658241374333,1.329171359539032,1.0,Avenue du Maréchal Leclerc,Blois,FR,1,False
47.596769576291181.3301932811737065,3804588,47.59676957629118,1.3301932811737065,1.0,Avenue du Maréchal Leclerc,Blois,FR,1,False
47.59674121.3289098,3804589,47.5967412,1.3289098,1.0,Avenue de Châteaudun,Blois,FR,7,True
47.59672271.3297825,3804590,47.5967227,1.3297825,1.0,Avenue de Châteaudun,Blois,FR,1,False
47.5966463412909351.3292169570922854,3804591,47.596646341290935,1.3292169570922854,1.0,Avenue du Maréchal Leclerc,Blois,FR,1,False
47.597488361341731.32897824048996,3804656,47.59748836134173,1.32897824048996,1.0,Rue Honoré de Balzac,Blois,FR,1,False
47.596987569505551.3295415043830872,3804662,47.59698756950555,1.3295415043830872,1.0,Rue Honoré de Balzac,Blois,FR,1,False
47.59691991.3296927,3804666,47.5969199,1.3296927,1.0,Avenue de Châteaudun,Blois,FR,1,False
45.7400906302040943.0607062578201294,3805743,45.740090630204094,3.0607062578201294,1.0,Avenue de la Vialle,Ceyrat,FR,3,True
45.752807224445293.117644190788269,3806794,45.75280722444529,3.117644190788269,1.0,Allée des Anciens Combattants d'Algérie Tunisie Maroc,Aubière,FR,2,False
45.752799738341883.1175744533538823,3806818,45.75279973834188,3.1175744533538823,1.0,Allée des Anciens Combattants d'Algérie Tunisie Maroc,Aubière,FR,1,False
45.734111295001483.1028383970260625,3807837,45.73411129500148,3.1028383970260625,1.0,Rue du Stade,Romagnat,FR,3,True
