Identifiant,Espèce,id_site,id_arbre
3656230,Candelaria concolor,nannan,
3656231,Parmelia sulcata,nannan,
3656232,Pleurosticta acetabulum,nannan,
3656233,Physconia distorta,nannan,
3656234,Flavoparmelia caperata/soredians,nannan,
3656235,autre lichen foliacé,nannan,
3656236,Physconia distorta,nannan,
3656237,Physcia adscendens/tenella,nannan,
3656238,Physcia aipolia/stellaris,nannan,
3656239,Phaeophyscia orbicularis,nannan,
3656240,Candelaria concolor,nannan,
3656241,Parmelia sulcata,nannan,
3656242,Pleurosticta acetabulum,nannan,
3656243,Physconia distorta,nannan,
3656244,Evernia prunastri,nannan,
3656245,Flavoparmelia caperata/soredians,nannan,
3656246,autre lichen foliacé,nannan,
3656247,Physconia grisea,nannan,
3656248,Melanelixia glabratula/subaurifera,nannan,
3656249,autre lichen foliacé,nannan,
3657725,lichen crustacé à aspect poudreux,nannan,
3657962,Physcia aipolia/stellaris,nannan,
3657963,Phaeophyscia orbicularis,nannan,
3657964,Physcia adscendens/tenella,nannan,
3657965,Xanthoria parietina,nannan,
3657966,Candelaria concolor,nannan,
3657968,Pleurosticta acetabulum,nannan,
3657969,Flavoparmelia caperata/soredians,nannan,
3657970,Physcia aipolia/stellaris,nannan,
3657971,Phaeophyscia orbicularis,nannan,
3657972,Physcia adscendens/tenella,nannan,
3657973,Candelaria concolor,nannan,
3657974,Flavoparmelia caperata/soredians,nannan,
3657975,Amandinea punctata/Lecidella elaeochroma,nannan,
3657976,Lecanora sp.,nannan,
3657977,Parmelia sulcata,nannan,
3657978,autre lichen foliacé,nannan,
3657979,Physcia aipolia/stellaris,nannan,
3657980,Phaeophyscia orbicularis,nannan,
3657981,Physcia adscendens/tenella,nannan,
3657982,Xanthoria parietina,nannan,
3657983,Candelaria concolor,nannan,
3657984,Pleurosticta acetabulum,nannan,
3657985,Flavoparmelia caperata/soredians,nannan,
3657986,Evernia prunastri,nannan,
3657987,Physconia grisea,nannan,
3657988,Physcia leptalea,nannan,
3657989,Melanohalea exasperata,nannan,
3663574,Evernia prunastri,nannan,
3663575,Parmelia sulcata,nannan,
3663576,Phaeophyscia orbicularis,nannan,
3663577,Flavoparmelia caperata/soredians,nannan,
3663578,Amandinea punctata/Lecidella elaeochroma,nannan,
3663579,Lecanora sp.,nannan,
3663580,Lepraria incana,nannan,
3663581,Punctelia sp.,nannan,
3663582,Parmotrema perlatum/reticulatum,nannan,
3663583,Physcia adscendens/tenella,nannan,
3663584,Parmelia sulcata,nannan,
3663585,Phaeophyscia orbicularis,nannan,
3663586,Flavoparmelia caperata/soredians,nannan,
3663587,Pertusaria amara,nannan,
3663588,Amandinea punctata/Lecidella elaeochroma,nannan,
3663589,Lecanora sp.,nannan,
3663590,Punctelia sp.,nannan,
3663591,Parmotrema perlatum/reticulatum,nannan,
3663592,Physcia adscendens/tenella,nannan,
3663597,Evernia prunastri,nannan,
3663598,Parmelia sulcata,nannan,
3663599,Phaeophyscia orbicularis,nannan,
3663600,Flavoparmelia caperata/soredians,nannan,
3663601,Phlyctis argena,nannan,
3663602,Melanohalea exasperata,nannan,
3663603,Amandinea punctata/Lecidella elaeochroma,nannan,
3663604,Lecanora sp.,nannan,
3663605,Lepraria incana,nannan,
3663606,Punctelia sp.,nannan,
3663608,Parmotrema perlatum/reticulatum,nannan,
3663609,Physcia adscendens/tenella,nannan,
3683858,Candelaria concolor,nannan,
3683859,Amandinea punctata/Lecidella elaeochroma,nannan,
3683860,Physcia adscendens/tenella,nannan,
3683861,Phaeophyscia orbicularis,nannan,
3683881,Candelaria concolor,nannan,
3683882,Amandinea punctata/Lecidella elaeochroma,nannan,
3683883,Physcia adscendens/tenella,nannan,
3683884,Phaeophyscia orbicularis,nannan,
3683885,Physcia adscendens/tenella,nannan,
3683886,Amandinea punctata/Lecidella elaeochroma,nannan,
3683887,Xanthoria parietina,nannan,
3683888,Phaeophyscia orbicularis,nannan,
3683889,Xanthoria parietina,nannan,
3683890,Physcia adscendens/tenella,nannan,
3683891,Flavoparmelia caperata/soredians,nannan,
3683892,Candelaria concolor,nannan,
3683893,Punctelia sp.,nannan,
3683894,Amandinea punctata/Lecidella elaeochroma,nannan,
3683895,Hyperphyscia adglutinata,nannan,
3711162,Punctelia sp.,nannan,
3711163,Candelaria concolor,nannan,
3711164,Physcia adscendens/tenella,nannan,
3711165,Xanthoria parietina,nannan,
3711166,Amandinea punctata/Lecidella elaeochroma,nannan,
3711167,Ramalina farinacea,nannan,
3711168,lichen crustacé à aspect poudreux,nannan,
3711169,Parmelia sulcata,nannan,
3711170,Candelaria concolor,nannan,
3711171,Physcia adscendens/tenella,nannan,
3711172,Amandinea punctata/Lecidella elaeochroma,nannan,
3711173,Punctelia sp.,nannan,
3711174,Candelaria concolor,nannan,
3711175,Physcia adscendens/tenella,nannan,
3711176,Amandinea punctata/Lecidella elaeochroma,nannan,
3711177,Ramalina farinacea,nannan,
3711178,Lecanora sp.,nannan,
3713208,Physcia adscendens/tenella,nannan,
3713209,lichen crustacé à aspect poudreux,nannan,
3713210,Lecanora sp.,nannan,
3713211,Amandinea punctata/Lecidella elaeochroma,nannan,
3713212,Xanthoria parietina,nannan,
3713213,Punctelia sp.,nannan,
3713214,Physcia adscendens/tenella,nannan,
3713215,Punctelia sp.,nannan,
3713216,Parmelia sulcata,nannan,
3713217,Candelaria concolor,nannan,
3713218,lichen crustacé à aspect poudreux,nannan,
3713219,Physcia adscendens/tenella,nannan,
3713220,Xanthoria parietina,nannan,
3713221,Punctelia sp.,nannan,
3721041,Xanthoria parietina,nannan,
3721042,Physcia adscendens/tenella,nannan,
3721043,Lecanora sp.,nannan,
3721044,Phaeophyscia orbicularis,nannan,
